Brand,Rating,N_Reviews,Price,Screen_size,warranty,pixels,os,discount
SAMSUNG,4.2,19 ,"₹18,690",32,1,1366 x 768,Tizen,24
PHILIPS,4.2,31 ,"₹79,990",50,2,3840 x 2160,Android,
SAMSUNG,4,1 ,"₹18,450",32,1,1366 x 768,Tizen,28
Thomson,4.5,"8,390 ","₹53,999",65,1,3840 x 2160,Android,23
Gangnam,4,22 ,"₹16,599",43,1,1920 x 1080,Android,66
XElectron,4,2 ,"₹18,990",43,1,3840 x 2160,Android,45
SONY,4.3,1 ,"₹2,59,999",65,1,3840 x 2160,Android,42
LG,,,"₹3,48,999",65,1,3840 x 2160,WebOS,30
Dyanora,4.1,517 ,"₹19,999",43,1,3840 x 2160,WebOS,47
Cellecor,2.9,2 ,"₹16,199",40,2,1366 x 768,Android,37
Lloyd,3.7,1 ,"₹29,999",55,1,3840 x 2160,Android,66
Coocaa,4.4,31 ,"₹32,999",55,1,3840 x 2160,Google,63
Panasonic,,,"₹99,840",65,1,3840 x 2160,Android,23
Panasonic,4.3,"1,182 ","₹31,990",43,1,3840 x 2160,Google,25
Cellecor,,,"₹21,499",43,2,1920 x 1080,Android,40
Cellecor,,,"₹16,999",40,2,1920 x 1080,Android,34
LG,4.5,9 ,"₹46,499",43,1,3840 x 2160,WebOS,38
SENS,4.4,69 ,"₹35,999",55,1,3840 x 2160,Google,39
Mi,4.4,"45,921 ","₹24,999",43,1,1920 x 1080,Google,30
Mi,4.4,"45,921 ","₹22,999",40,1,1920 x 1080,Google,23
TCL,4.1,165 ,"₹50,990",65,2,3840 x 2160,Google,59
SONY,5,1 ,"₹1,08,500",65,1,3840 x 2160,Google,34
LG,4.5,333 ,"₹49,990",55,1,3840 x 2160,WebOS,44
SAMSUNG,4.8,2 ,"₹1,44,900",55,1,3840 x 2160,Tizen,
Mi,4.3,"8,208 ","₹28,999",43,1,3840 x 2160,Google,32
BeethoSOL,4.1,180 ,"₹15,199",43,1,1920 x 1080,Android,69
